,Date,Price,Open,High,Low,Volume,%Chg
2500,09-Mar-2005,2160.8,2169.1,2183.45,2141.35,81.07,-0.38
2501,25-May-2005,2043.85,2028.55,2047.45,2019.0,76.58,0.75
2502,18-Mar-2005,2109.15,2097.75,2112.25,2077.2,83.94,0.51
2503,17-May-2005,1990.8,2013.1,2024.6,1984.75,48.67,-1.08
2504,10-Jun-2005,2090.6,2103.45,2133.1,2086.3,49.03,-0.6
2505,30-Mar-2005,1993.7,1983.65,2000.45,1971.15,69.95,0.5
2506,03-Feb-2005,2079.45,2052.35,2083.75,2052.35,78.1,1.33
2507,10-Aug-2005,2360.15,2322.3,2364.8,2322.05,81.81,1.79
2508,21-Feb-2005,2043.2,2055.15,2065.75,2039.9,46.92,-0.6
2509,08-Aug-2005,2324.4,2361.95,2386.95,2320.05,97.37,-1.56
2510,04-May-2005,1942.6,1920.5,1944.45,1920.15,48.18,1.14
2511,24-Oct-2005,2394.85,2444.2,2460.0,2388.4,80.24,-2.0
2512,26-Aug-2005,2357.05,2354.6,2368.05,2340.2,47.58,0.11
2513,05-Oct-2005,2644.4,2663.7,2669.2,2636.6,87.71,-0.71
2514,31-Oct-2005,2370.95,2314.85,2373.4,2314.2,69.8,2.37
2515,25-Feb-2005,2060.9,2057.3,2081.85,2051.2,66.31,0.27
2516,04-Jan-2005,2103.75,2116.95,2120.15,2100.55,72.72,-0.53
2517,16-May-2005,2012.6,1991.5,2014.95,1989.7,38.02,1.22
2518,08-Jun-2005,2112.4,2094.7,2115.25,2094.05,49.63,0.68
2519,13-Apr-2005,2025.45,2024.9,2038.85,2018.1,44.91,0.02
2520,09-May-2005,2000.75,1978.05,2003.15,1978.05,51.49,1.18
2521,08-Apr-2005,2031.2,2053.05,2057.5,2024.8,42.15,-1.05
2522,16-Aug-2005,2369.8,2361.65,2379.4,2356.85,59.05,0.35
2523,01-Feb-2005,2059.85,2057.75,2072.5,2045.25,135.57,0.11
2524,11-Mar-2005,2154.0,2167.7,2182.1,2148.7,70.47,-0.62
2525,10-May-2005,1994.3,2001.0,2007.8,1989.1,56.04,-0.32
